Label,PRESSURE_ZONE,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,shallow_main,Condition_score,OVERSIZED,CLEANED,Shape__Length,Installation_Month,Installation_Year,Break_Time
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,4,25,N,N,9.1,N,Y,103.480127898355,6,1986,38.0
1,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,4,23B,N,N,5.7,N,Y,107.579941291266,1,1967,45.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,7,4,1,N,Y,4.9,N,Y,247.546442212331,1,1960,51.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,5,6,N,N,8.5,N,N,0.909492429831313,6,1965,59.0
1,KIT 4,TREATED,300,CI,NO,NONE,PURCHASED,KITCHENER,N,7,2,14,N,N,4.55,N,N,90.1261250563159,1,1939,72.0
0,KIT 4,TREATED,150,DI,NO,NONE,PURCHASED,KITCHENER,N,5,4,12,N,N,8.5,N,Y,3.02285634317901,10,1981,43.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,2,27,N,N,9.35,N,N,7.82467899939765,6,2002,22.0
1,KIT 4,TREATED,100,CI,NO,NONE,DONATED,KITCHENER,N,5,4,7,N,N,5.75,N,Y,83.9442532933797,1,1960,46.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,6,5,19,N,N,9.1,N,N,74.0008758328554,1,1989,35.0
0,KIT 2E,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,5,21,N,N,8.5,N,N,11.4475992777801,1,1979,45.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,5,11,N,N,8.5,N,N,33.6528929823749,6,1965,59.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,5,11,N,N,8.5,N,N,101.987223780708,6,1965,59.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,1,2,N,N,4.55,N,N,122.843583323962,1,1958,48.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,3,18,N,N,9.1,N,N,0.890100739151282,6,1988,36.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,3,1,N,N,8.5,N,N,87.8004300862502,1,1968,56.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,4,8,N,N,7.75,N,Y,0.599833710566029,6,1958,66.0
0,KIT 2E,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,5,0,N,N,9.35,N,N,4.13437808253298,6,1996,28.0
0,KIT 2E,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,5,0,N,N,9.35,N,N,27.7473385529395,6,1996,28.0
0,KIT 2E,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,5,25,N,N,9.1,N,N,37.8970301169678,12,1991,33.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,1,17,N,N,5.35,N,N,143.863393429455,1,1927,75.0
0,KIT 6,TREATED,300,DI,NO,NONE,DONATED,DUAL CITY AND REGION,N,7,6,8,N,N,8.5,N,Y,67.8816663328633,5,1978,46.0
0,KIT 5,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,6,42,N,N,8.5,N,Y,14.6574870298604,7,1969,55.0
0,KIT 5,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,3,0,N,N,9.35,N,N,23.2931604504753,6,2004,20.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,4,8,N,N,7.75,N,Y,6.46865894004718,1,1955,69.0
0,KIT 2W,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,5,31,N,N,8.5,N,N,178.99822067706,1,1974,50.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,7,5,4,N,Y,4.1,N,N,151.183093555772,1,1957,65.0
0,KIT 2W,TREATED,200,DI,NO,NONE,PURCHASED,KITCHENER,N,7,5,0,N,N,8.5,N,N,287.15183011826,6,1981,43.0
1,KIT 4,TREATED,600,CPP,NO,NONE,PURCHASED,REGION,N,8,2,6,N,N,9.15,N,N,352.549350905569,6,2004,-5.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,8,N,N,9.35,N,N,25.3689097205064,1,2000,24.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,1,29,N,N,9.35,N,N,4.55658266683313,6,2001,23.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,4,25,N,N,9.1,N,Y,4.58819229727997,6,1986,38.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,3,17,N,N,9.1,N,N,2.28804143354341,1,1986,38.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,5,30,N,N,9.1,N,N,0.447922145773579,1,1986,38.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,1,29,N,N,9.35,N,N,11.1210596258864,6,2001,23.0
0,KIT 6,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,6,34,N,N,9.1,N,Y,5.19758233119016,1,1988,36.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,4,0,N,N,9.35,N,Y,0.952617388695109,6,2007,17.0
0,KIT 2W,TREATED,200,DI,NO,NONE,PURCHASED,KITCHENER,N,6,5,34,N,N,8.5,N,N,1.10247619453465,6,1981,43.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,5,30,N,N,8.5,N,N,1.76248660419552,1,1976,48.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,2,7,N,N,9.35,N,N,101.793543694694,6,2004,20.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,2,7,N,N,9.35,N,N,1.25018926434412,6,2004,20.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,0,2,7,N,N,9.35,N,N,3.26957671861101,6,2004,20.0
