,PIPE_DIAMETER,PIPE_LENGTH,Age,PRESSURE_ZONE_BRESLAU,PRESSURE_ZONE_BRIDGEPORT,PRESSURE_ZONE_KIT 2E,PRESSURE_ZONE_KIT 2EA,PRESSURE_ZONE_KIT 2W,PRESSURE_ZONE_KIT 4,PRESSURE_ZONE_KIT 4A,PRESSURE_ZONE_KIT 5,PRESSURE_ZONE_KIT 6,PRESSURE_ZONE_MANNHEIM,PRESSURE_ZONE_RAW NO ZONE,PRESSURE_ZONE_WAT 4,MATERIAL_AC,MATERIAL_CI,MATERIAL_COP,MATERIAL_CPP,MATERIAL_DI,MATERIAL_HDPE,MATERIAL_PVC,MATERIAL_PVCB,MATERIAL_PVCF,MATERIAL_PVCO,MATERIAL_ST,Predicted condition,Label
2138,-0.2503401716684642,-0.154085958198225,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.419500000000001,0
1437,-0.7019460135237814,-0.38166650023732474,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.343200000000001,0
589,-0.2503401716684642,0.2109377610905211,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.060000000000002,0
1610,-0.7019460135237814,0.4256057483198732,1.749190153314994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.204999999999997,0
927,0.6528715120421702,0.23384168731778757,0.38211319858966963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.243999999999998,0
930,-0.7019460135237814,-0.46210773532510857,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1362,-0.7019460135237814,1.4171310781122588,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.323500000000001,1
1819,-0.7019460135237814,0.13294128524705542,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.452000000000005,1
1783,-0.7019460135237814,-0.4183989028474895,1.8858978487875264,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2610,-0.7019460135237814,-0.14737481654545986,-1.2583791470807197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.889999999999995,1
1100,0.6528715120421702,-0.40770790402710355,1.7947593851391717,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.358,0
2257,0.6528715120421702,0.6830427920708982,0.9289439804797994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.450500000000002,1
1275,0.6528715120421702,-0.14450333304624496,0.38211319858966963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4865,0
1051,-0.7019460135237814,-0.45288307977330605,2.706144021622721,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2362,0.6528715120421702,0.3654613405247411,0.7466670531830895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.471499999999999,0
1204,-0.2503401716684642,0.6555799043654152,0.9289439804797994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.347999999999999,0
1628,-0.7019460135237814,-0.4626870974372877,1.475774762369929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.598,0
1641,-0.7019460135237814,0.5351489003365919,0.4276824304138471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.278,0
1421,0.6528715120421702,0.42130124137748126,0.9745132123039769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.472000000000001,0
2313,-0.7019460135237814,0.5798034232238193,2.8428517170952534,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.999000000000008,1
2081,0.6528715120421702,-0.24581630140725738,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.842000000000013,0
1513,-0.7019460135237814,-0.009362347352176925,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.394000000000007,1
1345,-0.7019460135237814,0.2944385092465717,1.2023593714248644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.695500000000007,0
446,-0.7019460135237814,1.0023456128602102,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.030499999999996,1
2349,2.0076890376081216,-0.38875215719850276,1.2934978350732194,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1626,-0.7019460135237814,-0.4521615154439798,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.712000000000001,0
